trump,video,female,pid,age,educ
0,1,0,2,27,9
85,4,0,6,24,9
85,4,0,5,52,10
0,4,1,2,23,8
30,1,1,5,27,8
50,4,1,2,29,8
0,4,1,0,90,13
0,4,1,2,46,9
40,0,0,5,81,13
0,3,0,2,68,10
85,0,0,6,39,10
15,2,1,1,34,12
70,1,0,5,19,8
30,1,1,4,65,13
0,3,1,1,31,9
50,0,0,4,35,9
85,1,1,6,65,11
100,2,0,6,45,10
0,3,1,2,57,10
15,4,0,2,43,12
0,3,1,1,26,12
60,0,1,1,47,9
20,3,0,5,62,12
15,3,0,0,36,12
0,4,1,0,74,9
50,4,1,0,54,2
60,0,0,4,45,12
100,1,1,6,57,8
0,3,1,2,38,12
35,2,0,6,60,12
40,2,1,6,22,6
0,4,0,1,29,8
0,3,1,0,60,9
60,2,0,4,75,3
50,2,0,3,66,8
0,4,0,1,64,12
70,0,1,3,32,11
50,0,1,4,44,9
85,1,1,6,49,12
0,4,1,1,29,13
30,4,0,1,39,8
60,2,0,5,62,11
15,4,1,0,57,9
0,1,0,0,66,8
15,2,0,3,77,13
0,1,1,0,58,10
50,1,0,4,31,8
0,3,0,6,59,12
100,0,1,4,59,10
70,4,0,3,56,9
40,2,0,4,44,12
30,1,1,5,24,12
100,0,0,4,24,8
0,4,1,0,51,13
85,1,0,4,62,9
0,4,1,2,36,13
0,3,1,1,34,8
0,4,0,0,51,13
70,1,1,5,53,9
0,4,1,5,58,12
40,2,1,3,63,12
0,4,0,2,42,9
50,0,0,4,21,11
70,3,1,1,76,12
60,1,0,1,74,11
50,0,0,4,63,11
15,3,1,0,51,12
0,4,0,1,53,7
60,2,0,0,38,13
0,4,1,0,42,9
40,2,1,4,35,8
60,2,1,1,41,6
0,2,1,0,51,12
60,1,1,6,60,12
50,1,0,3,85,8
85,0,0,5,56,5
0,4,0,1,28,13
85,1,1,1,52,9
70,2,0,5,79,15
0,4,0,0,48,12
0,4,0,2,62,10
100,1,1,6,65,9
30,3,1,1,52,12
85,0,0,6,48,9
70,0,1,1,87,8
30,1,0,4,75,15
60,4,1,4,39,10
10,2,0,5,22,8
30,2,1,3,29,11
0,2,0,0,81,15
0,4,0,0,34,15
0,2,1,4,54,13
15,3,1,2,72,2
